game,avg_count,avg_reward,avg_jabuka,vrijeme
0,9.96,-0.0016666666666666668,0.0,14.883683681488037
1,9.910400000000001,-0.00365,0.0,0.11796212196350098
2,9.921296,-0.004522590909090909,0.0,0.23195838928222656
3,9.88208304,-0.0061440316666666675,0.0,0.1447911262512207
4,9.9332622096,-0.006749258016666667,0.0,0.29416990280151367
5,9.993929587504,-0.0073067654365,0.0,0.3085362911224365
6,10.00399029162896,-0.00814278869122591,0.0,0.23096108436584473
7,9.95395038871267,-0.01006136080431365,0.0,0.10650753974914551
8,9.944410884825542,-0.011071858307381626,0.0,0.17489242553710938
9,9.934966775977287,-0.012072250835418921,0.0,0.16679859161376953
10,10.125617108217513,-0.012296355913271629,0.0,0.5553169250488281
11,10.164360937135339,-0.012887678068424627,0.0,0.2788834571838379
12,10.252717327763985,-0.01275880128774038,0.01,0.36564207077026367
13,10.220190154486346,-0.012631213274862977,0.0199,0.13266968727111816
14,10.477988252941483,-0.012782678919892125,0.019701,0.714449405670166
15,10.473208370412067,-0.013654852130693205,0.01950399,0.19705486297607422
16,10.728476286707945,-0.01379608138716405,0.0193089501,0.7078080177307129
17,10.721191523840865,-0.01465812057329241,0.019115860599,0.1916210651397705
18,10.693979608602456,-0.015761539367559488,0.01892470199301,0.15365290641784668
19,10.727039812516432,-0.01631820968816961,0.0187354549730799,0.27797698974609375
20,10.679769414391268,-0.01782169425795458,0.0185481004233491,0.11513948440551758
21,10.642971720247356,-0.017643477315375033,0.02836261941911561,0.14012956619262695
22,10.686542003044883,-0.01813370920888795,0.028078993224924454,0.27862548828125
23,10.659676583014434,-0.019202372116799073,0.02779820329267521,0.1592118740081787
24,10.65307981718429,-0.020010348395631084,0.02752022125974846,0.19672727584838867
25,10.626549019012447,-0.021060244911674773,0.027245019047150976,0.16381478309631348
26,10.580283528822322,-0.02251630912922469,0.026972568856679466,0.13119292259216309
27,10.7144806935341,-0.02270781270459911,0.02670284316811267,0.4648435115814209
28,10.877335886598757,-0.02285110494792349,0.026435814736431543,0.5418357849121094
29,10.84856252773277,-0.023872593898444257,0.026171456589067228,0.16059589385986328
30,10.790076902455443,-0.025633867959459815,0.025909742023176557,0.10104751586914062
31,10.782176133430887,-0.026377529279865218,0.02565064460294479,0.1951127052307129
32,10.854354372096578,-0.026113753987066567,0.03539413815691534,0.3633246421813965
33,10.825810828375612,-0.0271026164471959,0.035040196775346186,0.15219664573669434
34,10.767552720091857,-0.02883159028272394,0.034689794807592725,0.09292078018188477
35,10.739877192890939,-0.0297932743798967,0.034342896859516796,0.16074085235595703
36,10.752478420962028,-0.030328674969431063,0.03399946789092163,0.23119878768920898
37,10.834953636752408,-0.030551704009210437,0.03365947321201241,0.3738889694213867
