game,avg_count,avg_reward,avg_jabuka,vrijeme
0,9.96,-0.0016666666666666668,0.0,7.605836391448975
1,9.910400000000001,-0.00365,0.0,0.05741763114929199
2,9.901296,-0.004724611111111111,0.0,0.06110572814941406
3,9.872283040000001,-0.006105936428571428,0.0,0.04381084442138672
4,9.9535602096,-0.006600432619841269,0.0,0.10763168334960938
5,9.954024607504001,-0.006534428293642857,0.01,0.10950517654418945
6,9.914484361428961,-0.008135750677373094,0.0099,0.043769121170043945
7,10.125339517814671,-0.008376973815760653,0.009801,0.20593047142028809
8,10.084086122636526,-0.009959870744269713,0.00970299,0.056948184967041016
9,10.133245261410162,-0.009860272036827015,0.0196059601,0.12238860130310059
10,10.13191280879606,-0.010761669316458746,0.019409900499,0.0777127742767334
11,10.150593680708099,-0.011487385956627492,0.019215801494009997,0.06986284255981445
12,10.149087743901017,-0.012372512097061215,0.019023643479069898,0.05860185623168945
13,10.187596866462007,-0.012963072690376318,0.0188334070442792,0.08381438255310059
14,10.175720897797387,-0.013944553074583666,0.018645072973836406,0.07331418991088867
15,10.133963688819414,-0.015471774210504496,0.01845862224409804,0.04359292984008789
16,10.212624051931218,-0.015872612023955006,0.018274036021657062,0.12274289131164551
17,10.300497811411905,-0.01624020169318914,0.018091295661440493,0.12532973289489746
18,10.577492833297786,-0.016340957570994092,0.01791038270482609,0.23174333572387695
19,10.721717904964807,-0.016577547995284152,0.01773127887777783,0.1894681453704834
20,10.82450072591516,-0.016887962991521788,0.01755396608900005,0.15117526054382324
21,10.816255718656008,-0.01771908336160657,0.01737842642811005,0.06815361976623535
22,10.838093161469448,-0.018311123297221274,0.01720464216382895,0.07661628723144531
23,10.849712229854752,-0.01896134539758239,0.01703259574219066,0.08156466484069824
24,10.801215107556205,-0.020438398610273235,0.016862269784768753,0.04084420204162598
25,11.133202956480643,-0.02046128735144323,0.016693647086921067,0.32137417793273926
26,11.171870926915837,-0.020923341144595466,0.016526710616051855,0.1123661994934082
27,11.110152217646679,-0.02271410773314951,0.016361443509891337,0.03497934341430664
28,11.269050695470211,-0.022857337026188387,0.016197829074792423,0.15789175033569336
29,11.316360188515509,-0.023253763655926504,0.016035850784044497,0.11597108840942383
30,11.363196586630353,-0.02364622601936724,0.01587549227620405,0.12549495697021484
31,11.40956462076405,-0.02403476375917357,0.01571673735344201,0.10804629325866699
32,11.385468974556408,-0.024905527232692945,0.01555956997990759,0.09403681755065918
33,11.471614284810844,-0.025156471960366016,0.015403974280108514,0.13230395317077637
34,11.446898141962736,-0.026016018351873466,0.01524993453730743,0.06227231025695801
35,11.452429160543108,-0.026589191501688064,0.015097435191934355,0.10098409652709961
36,11.457904868937677,-0.027156632920004514,0.01494646084001501,0.08727788925170898
37,11.4133258202483,-0.028313638019375895,0.01479699623161486,0.05038332939147949
38,11.449192562045818,-0.028697168305848803,0.014649026269298713,0.07878613471984863
39,11.40470063642536,-0.029838768051361743,0.014502536006605725,0.057683706283569336
40,11.350653630061107,-0.03120704703751479,0.014357510646539668,0.038033485412597656
41,11.357147093760494,-0.03172830990047298,0.01421393554007427,0.0785365104675293
42,11.393575622822889,-0.03207769346813492,0.014071796184673527,0.10621881484985352
