game,avg_loss
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,67.21722103774547
32,89.62316147095262
33,95.20961995970538
34,99.08145537275335
35,101.7848891687558
36,103.4816491545177
37,104.80846791212224
38,105.89802849829067
39,106.98147043460507
40,107.96019811524653
41,108.90014150157845
42,109.76942761503422
43,110.65872546240779
44,111.4363619104056
45,112.21173575586099
46,112.91234053755163
47,113.58398259875415
48,114.18450176682994
49,114.70745524845192
50,115.0527599005412
51,115.24279001105833
52,115.26290078208217
53,115.24186797536743
54,115.15138516011542
55,115.00104076656946
56,114.83528260965511
57,114.6302773948139
58,114.3957864081515
59,114.10565548244683
60,113.74158886853341
61,113.37006038206283
62,113.00178920869706
63,112.59470263300129
64,112.16079117953242
65,111.72519492554297
66,111.28314537433765
67,110.84183823273092
68,110.38644306538457
69,109.93940414509625
70,109.48907266914665
71,109.02556137720283
72,108.56982095960926
73,108.10931922813633
74,107.64694242124962
75,107.19697161520702
76,106.74547520772643
77,106.29385745071849
78,105.85043562869932
79,105.39878079175372
80,104.96166291473634
81,104.50746961969828
82,104.06174777119035
83,103.61498276440662
84,103.1735601164302
85,102.73261421742905
86,102.29796213151695
87,101.8689104194974
88,101.44174473840664
89,101.01410803946774
90,100.58258653965346
91,100.15418185411873
92,99.73702240035774
93,99.31519771945028
94,98.87680381319952
95,98.45602791805376
96,98.05426739444972
97,97.63258304703506
98,97.21197233172462
99,96.80300225888641
100,96.39068369720347
101,95.98545778572345
102,95.57804715438816
103,95.16957076808077
104,94.76609284567266
105,94.35817223055501
106,93.95288097819652
107,93.54766575574797
108,93.1442047860227
109,92.74256847145205
110,92.3427961299916
111,91.94050218811805
112,91.54559225652794
113,91.16090466327448
114,90.76576190026412
115,90.38065369118459
116,90.00248043772773
117,89.63061841684355
118,89.24724457691826
119,88.86905911333069
120,88.49819147430641
121,88.12675854018804
122,87.75124730801996
123,87.3872606026185
124,87.03065546842097
125,86.67187662810599
126,86.3100411327915
127,85.96194496608892
128,85.60254029088006
129,85.25211500997288
130,84.90646952094633
131,84.56420580119466
132,84.21929338389809
133,83.87473008807362
134,83.52981959801367
135,83.1961229926013
136,82.86543546317881
137,82.53624012389201
138,82.21238395865932
139,81.88478772457314
140,81.88478772457314
141,81.56790565390506
142,81.24865423455813
143,80.92305741633237
144,80.59445074562682
145,80.28411677898406
146,79.9720768701907
147,79.65728947597476
148,79.35066220431708
149,79.04838652516528
150,78.74057984272382
151,78.43540029993918
152,78.13815168316492
153,77.83900900756093
154,77.54017565017878
155,77.249904712716
156,76.95174337798618
157,76.65443786222266
158,76.36140911225232
159,76.06632403829684
160,75.77106686244932
161,75.48106398601504
162,75.1869346159003
163,74.89825932438195
164,74.6043937184891
165,74.32005431153395
166,74.02583135884912
167,73.73029779639413
168,73.43206115837744
169,73.1296555808344
170,72.82455150465104
171,72.5104820107506
172,72.20030222658774
173,71.87963609472612
174,71.55699687682012
175,71.23259009293797
176,70.90142631937012
177,70.57524072619243
178,70.24085009586678
179,69.9093358535752
180,69.57874754572478
181,69.24665479347273
182,68.91932409563098
183,68.59939601105854
184,68.2730505762754
185,67.94332224523504
186,67.607551537553
187,67.27611263342096
188,66.95005181149733
189,66.62379184547589
190,66.29751689223846
191,65.97231793856976
192,65.6506444304907
193,65.32606747123386
194,65.00791129697257
195,64.69001923023899
196,64.37137504189367
197,64.05274061554091
198,63.737734591344655
199,63.42357447676909
200,63.11173050278242
201,62.80304834520991
202,62.48965415743213
203,62.17998060195132
204,61.87245297147899
205,61.56561224424033
206,61.26112304405021
207,60.95991864797224
208,60.66195582026841
209,60.371977952553344
210,60.0813911199315
211,59.78845618490275
212,59.49217318290298
213,59.20736556780548
214,58.925017649559734
215,58.638907742684445
216,58.350928577544764
217,58.071194201008865
218,57.788874768315104
219,57.507657302529694
220,57.23104446983218
221,56.957214485490894
222,56.6821985683416
223,56.42066901459668
224,56.15761549109087
225,55.888259729054056
226,55.621958189184916
227,55.35846401991506
228,55.09990828558041
229,54.83760590638326
230,54.58179554963361
231,54.32664999451659
232,54.07348310064119
233,53.81922848548957
234,53.5692803395012
235,53.324299352660674
236,53.075260182219694
237,52.83041558894168
238,52.58302180287937
239,52.33774338569543
240,52.09717708984129
241,51.852842425379
242,51.614931700010416
243,51.376414049039674
244,51.140640984371835
245,50.89873013249075
246,50.6617908560037
247,50.42820797709121
248,50.197729401201705
249,49.96452703619642
250,49.73611497604467
251,49.514406403793764
252,49.2877666340782
253,49.06301695382424
254,48.83674836033593
255,48.60814922823861
256,48.39199208914785
257,48.16955086091615
258,47.945301356641096
259,47.72185241495666
260,47.50432653748986
261,47.28726253680099
262,47.07018446969561
263,46.85646415557361
264,46.643913792315715
265,46.43102291483865
266,46.22528065246005
267,46.01684908117787
268,45.80593125494377
269,45.59873843112243
270,45.370679113952534
271,45.165994199360036
272,44.96135892942133
273,44.75633245736767
274,44.54983358404715
275,44.34491265988572
276,44.13944790895549
277,43.9349829019228
278,43.72906761381884
279,43.525823824071935
280,43.32245987067676
281,43.12334797591775
282,42.92420957167128
283,42.72383406895167
284,42.52141037149531
285,42.311449014471506
286,42.111982461671005
287,41.915322560693625
288,41.719906457613426
289,41.52258589253245
290,41.323951944663584
291,41.1219471670666
292,40.9286977899492
293,40.73506982744836
294,40.540057698546576
295,40.348306787478364
296,40.15326911845287
297,39.96196314743198
298,39.77187698464463
299,39.58400835793528
300,39.39652795745234
301,39.20821830818944
302,39.01979267377028
303,38.83449523999998
304,38.65259304092753
305,38.47281401320173
306,38.28880449190799
307,38.1055511425747
308,37.92026639666441
309,37.73402276925824
310,37.55333999955161
311,37.375807314949434
312,37.199450373862106
313,37.02526156975257
314,36.850413675181464
315,36.67259364172753
316,36.49360779023138
317,36.31809689018744
318,36.14370335521367
319,35.97072427311772
320,35.79681449979249
321,35.62246126288683
322,35.44773046920069
323,35.275142876759816
324,35.103131119615085
325,34.93309026556768
326,34.762233717652045
327,34.593191253702315
328,34.425265304697795
329,34.25946969149568
330,34.08947974843239
331,33.92598189250206
332,33.755641231720325
333,33.587857114887385
334,33.42026840623441
335,33.25406008817234
336,33.091451425016146
337,32.925588962131556
338,32.76355584135815
339,32.603175590690306
340,32.440716221405225
341,32.27696398774785
342,32.1111254470768
